Solutions over population
,Best,Avg,Worst
0,2073.5673893032476,3504.644791134092,5422.1019130215645
1,2073.5673893032476,3100.8722302671245,5317.987883604207
2,1961.9549379286818,2822.902736401317,5317.987883604207
3,1874.7964754119628,2665.5445367239886,4605.920064984592
4,1812.5569091031768,2493.9037543152313,4605.920064984592
5,1812.5569091031768,2370.0626305313504,4121.072371976649
6,1812.5569091031768,2306.131664031086,3876.701990039715
7,1752.0025756551036,2235.8003243490075,3672.888084215308
8,1728.1377024534982,2208.587950948569,3672.888084215308
9,1661.815835202633,2174.4682928970587,3743.5670814799496
10,1630.955604217775,2123.5405728822207,3743.5670814799496
11,1586.9984078301957,2094.1315414282813,3329.2673498316535
12,1586.9984078301957,2052.793100245683,3115.297137932978
13,1586.9984078301957,2023.4791455037803,2959.325901149625
14,1586.9984078301957,1998.2175889072826,2987.6165481229123
15,1586.9984078301957,1980.3903217426,2916.283558023283
16,1586.9984078301957,1970.9129370758506,2859.5971145166354
17,1582.358751465431,1934.5494857722454,2975.3796283336396
18,1582.358751465431,1919.5070415090297,2859.5971145166354
19,1582.358751465431,1937.0682554589957,2924.2596450477263
20,1576.8579697491953,1931.7430464706063,2883.5119305223734
21,1533.967010984937,1927.558328236149,2947.250821216422
22,1533.967010984937,1888.3533273368769,2947.250821216422
23,1533.967010984937,1889.8110481088343,2904.1801100796833
24,1523.2246018079543,1898.396012503008,3022.0568719193016
25,1521.9845971451482,1892.1811419992266,3250.8702207539795
26,1498.8099200190654,1883.103792517104,3392.2914395364123
27,1498.8099200190654,1883.137058451985,3403.177559491931
28,1468.4930626860698,1875.8633544749039,3035.1591177804785
29,1468.4930626860698,1865.858921119145,3035.1591177804785
30,1468.4930626860698,1878.7565610702814,3105.5152287171823
31,1468.4930626860698,1927.98223247119,3280.362148186273
32,1468.4930626860698,1922.96483563221,3280.362148186273
33,1468.4930626860698,1948.5740474862514,3738.0260519294297
34,1468.4930626860698,1891.4820018455648,3139.4415992345353
35,1456.690977109904,1894.031572914847,3480.62442555069
36,1456.690977109904,1884.8095220571622,3480.62442555069
37,1391.6461989514587,1870.4586758849443,3480.62442555069
38,1391.6461989514587,1823.3469400410654,3023.7229493731115
39,1390.1103059403733,1806.3653786816947,3281.5610997484987
40,1353.9411284397981,1770.1191160643857,3081.347535417507
41,1353.9411284397981,1810.6815274288506,3382.0125424192183
42,1353.9411284397981,1839.3906643322055,3494.5667100034416
43,1353.9411284397981,1849.4350839189117,3029.0351529730965
44,1353.9411284397981,1843.8857537107742,3364.4955255599025
